fish_name,sex.x,detour_trial_1_prop_time_in_social_reward_following_solution,detour_trial_1_date_of_trial,detour_trial_1_time_of_trial,detour_trial_1_did_fish_solve_barrier_problem,detour_trial_1_did_fish_solve_full_social_problem,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,time_to_barrier_contact_minus_start_time,scorer,shuttlebox_start_side,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_slope,shuttlebox_wilcox_test,binned_shuttlebox_slope,binned_shuttlebox_wilcox_test,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,did_fish_solve_shuttlebox.x,binned_did_fish_solve_shuttlebox.x,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,twentythree_filtered_shuttlebox_slope,twentythree_filtered_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,did_fish_solve_shuttlebox.y,binned_did_fish_solve_shuttlebox.y,sex.y,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
wylla,F,0.373540856,10_31_2017,3:46,1,1,58,47,8,28,DH,R,706.2333333333333,643.6392523364486,0.3529312124123716,0.753562102070893,1.338995169082123,0.753562102070893,0.49074074074074076,0.45,-0.0014954888147324266,0.010122358175750839,0.49433106575963714,0.45,-0.0026432121670217057,0.0313131313131313,0,0,744.6195652173913,631.243961352657,-2.957345191040838,0.6090003502263501,-6.698583376002745,0.6090003502263501,0.5096618357487923,0.40217391304347827,0.003074220465524799,0.005434782608695649,0.5092592592592592,0.40625,0.006172839506172835,0.020833333333333353,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warren,M,0.05019305,10_17_2017,2:17,1,1,66,62,1,16,DH,L,650.15,636.1233644859813,0.5550080068324686,0.5213676749549471,0.5143295759526842,0.5213676749549471,0.5333333333333333,0.5333333333333333,-0.0013348164627363806,-0.007563959955506123,0.5299319727891156,0.5333333333333333,-0.0058956916099773505,-0.024242424242424246,0,0,625.7717391304348,650.2391304347826,5.1894488361879585,0.9355403321199202,11.924731182795675,0.9355403321199202,0.5217391304347826,0.5652173913043478,-0.006916996047430838,-0.005928853754940727,0.5208333333333333,0.5625,-0.01785714285714281,-0.021825396825396796,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
waverly,F,0.670658683,12_3_2017,3:27,1,1,75,61,4,358,BW,L,686.2083333333334,682.1345794392523,-2.435533966762736,0.013563750952850825,-9.290097691894745,0.013563750952850825,0.45555555555555555,0.44166666666666665,0.0013348164627363644,0.007397107897664066,0.45895691609977324,0.44166666666666665,0.007915893630179364,0.021717171717171715,1,1,722.1086956521739,680.5410628019324,-5.381587615283282,0.011821865359056712,-19.197047277692434,0.011821865359056712,0.463768115942029,0.40217391304347827,0.005764163372859022,0.0029644268774703503,0.4710648148148148,0.40625,0.023037918871252217,0.010912698412698409,1,1,F,1319,SDN,0.03141762452107279,0.4004980842911878,5.444444444444445,1.5555555555555556,16,36.083444444444446,NaN,NaN,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,non,non,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
wilbur,M,0.077235772,9_13_2017,12:23,1,1,76,17,7,32,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1961,DNS,0.28633333333333333,0.4067777777777778,4.888888888888889,4.888888888888889,47.333333333333336,2.266666666666667,0.5359650314427535,0.5746753246753247,9,9,3,3,3,3,3,3,0.4662620492681185,0.7529328621908127,0.47539342904472676,0.17207792207792239,1,1,1,2,0.17635487844430214,0.6104401202628251,0.0010317127868623537,0.5637028616507731,low,low,1,1,17.863888888888887,46.36875,17.863888888888887,0.75,2,2,3,0.5648627801678859,0.7240259740259741
gunther,M,0.947686117,8_24_2017,2:42,1,1,91,89,5,12,DH,L,665.2083333333334,663.9551401869159,-2.8567666631080724,0.3436476123460436,-7.793829307568426,0.3436476123460436,0.4685185185185185,0.4666666666666667,0.0023359288097886486,0.008676307007786425,0.47173091458805744,0.4666666666666667,0.008149522435236714,0.02828282828282827,0,0,704.3260869565217,663.0169082125603,-6.457290294246826,0.5318439632323988,-16.352726574500743,0.5318439632323988,0.47342995169082125,0.42391304347826086,0.007246376811594191,0.004693675889328054,0.47685185185185186,0.4270833333333333,0.018959435626102285,0.020833333333333322,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gladys,F,0.040816327,10_17_2017,10:07,1,1,120,7,11,333,DH,R,592.575,636.8,3.276825024020497,0.9823806041452152,10.110494900697752,0.9823806041452152,0.512962962962963,0.55,-0.0024842417500926996,0.0030033370411568345,0.5080498866213152,0.55,-0.01064843445795825,0.008080808080808074,0,0,596.7391304347826,612.5845410628019,-1.0752635046113272,0.29624756241862604,-4.1445212493599755,0.29624756241862604,0.533816425120773,0.5434782608695652,0.0011528326745718028,0.0074110671936758864,0.5347222222222222,0.5416666666666666,0.004629629629629656,0.017857142857142863,0,0,F,2695,NDS,0.15096059113300492,0.19029556650246307,5.571428571428571,3.4285714285714284,42.285714285714285,12.46857142857143,0.4768127061037222,0.7142857142857143,7,7,2,2,3,2,2,3,0.5367054980592403,0.47356944913203225,0.4554983800266819,0.5,1,1,0,2,0.7182102733155302,0.5823896211835776,2.751787022775031e-4,0.2986176744488101,low,non,1,1,17.605,35.875,17.605,1,1,5,3,0.48859110907265146,0.8333333333333334
georgiafixed,F,0.462295082,9_13_2017,11:29,1,1,285,22,5,10,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,3036,DNS,0.23182375478927209,0.36912260536398467,10.777777777777779,6,60.111111111111114,4.794666666666666,0.5003592958001349,0.578846788203382,9,9,3,3,3,3,3,3,0.49198717948717957,0.5162979226482012,0.4742451154529307,0.5068965517241381,0.5281690140845069,0.8300884955752214,0,1,0.41741897078033813,0.9900460787921892,0.17921643994861083,0.5456792325575683,low,non,1,0,10.333666666666668,11.215874999999999,10.333666666666668,0.6,1,2,1,0.49417673919610383,0.6217180204612888
gwen,F,0.190082645,10_17_2017,9:47,1,1,289,283,11,190,DH,R,647.7833333333333,639.626168224299,1.2664109225057114,0.61972262471001,3.1319098228663247,0.61972262471001,0.5,0.5,-0.0033370411568409424,0.003337041156840932,0.5034013605442177,0.5,-0.008245722531436838,0.0101010101010101,0,0,650.9673913043479,639.0193236714975,2.5460584101888544,0.6944180100452275,6.173088410991619,0.6944180100452275,0.5217391304347826,0.4782608695652174,-1.744978088308123e-17,-1.0469868529848738e-17,0.5208333333333333,0.47916666666666663,-0.001984126984126994,0.0019841269841270027,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wedelia,F,0.122641509,12_3_2017,3:07,1,1,354,351,17,34,BW,L,669.6666666666666,637.4915887850467,-0.6133905080483347,0.8462762622035964,-3.5509157273214846,0.8462762622035964,0.5048433048433049,0.4666666666666667,0.0013329150147837596,0.0065628476084538395,0.499697656840514,0.4666666666666667,0.002977622025241045,0.020202020202020186,0,0,676.3152173913044,653.1666666666666,2.114624505928865,0.47454288017590956,1.1398916197303224,0.47454288017590956,0.4855072463768116,0.4673913043478261,-0.002140974967061936,0.014822134387351773,0.48148148148148145,0.46875,-0.00352733686067019,0.036706349206349215,0,0,F,1450,SDN,0.06331417624521073,0.7199616858237547,3,4.333333333333333,36.77777777777778,2.430555555555556,0.46619736962338637,0.4929723469358574,6,2,3,3,0,1,1,0,0.01925722145804674,0.8836805555555557,NA,0.11570247933884283,0.870242214532872,NA,1,1,0.03943879098940303,0.7524936490337828,NA,NA,NA,low,1,0,46,70.825,46,0.6666666666666666,1,1,2,0.4514688885068012,0.4929723469358574
grayson,M,0.286666667,12_3_2017,2:15,1,1,358,218,6,92,BW,L,677.6666666666666,649.1831775700934,0.08047637687864087,0.8840836499205491,2.6015695115405224,0.8840836499205491,0.48518518518518516,0.4583333333333333,-7.662835249042216e-4,0.00839822024471635,0.48858654572940285,0.4583333333333333,-0.0026340502530978966,0.027777777777777762,0,0,710.75,637.3985507246376,-3.432257356170403,0.9664361488619171,-4.199586106844193,0.9664361488619171,0.5024154589371981,0.42391304347826086,0.004172156346069372,0.006916996047430829,0.5023148148148148,0.4270833333333333,0.005511463844797141,0.026785714285714315,0,0,M,1097,SDN,0.3258429118773946,0.30765900383141764,2.6666666666666665,4.333333333333333,36.22222222222222,16.225,0.4562452926553839,0.5629222972972973,9,8,3,3,3,3,3,2,0.6522157996146439,0.5095415117719952,0.2276052788182171,1,1,0,1,2,0.9977193192858387,0.6325925670915944,0.005699928850000039,0.7062559621048525,low,low,1,1,33.19285714285714,32.959375,33.19285714285714,0.5,1,2,1,0.46312086340161873,0.6666666666666666
