fish_name,shuttlebox_start_side,presentation_when_fish_gave_up3,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,prop_shuttlebox_TTEST_p_value_first_and_last_3_gaps,prop_shuttlebox_WILCOX_p_value_first_and_last_3_gaps,prop_shuttlebox_SHAPIRO_p_value_first_and_last_3_gaps,dist_shuttlebox_TTEST_p_value_first_and_last_3_gaps,dist_shuttlebox_WILCOX_p_value_first_and_last_3_gaps,dist_shuttlebox_SHAPIRO_p_value_first_and_last_3_gaps,prop_p_value_of_wilcox_or_t_test_based_on_shapiro,dist_p_value_of_wilcox_or_t_test_based_on_shapiro,prop_was_t_test_wilcox_significant,dist_was_t_test_wilcox_significant,average_distance_during_the_first_3_gaps,difference_avg_dist_from_correct_first_3_gaps_minus_last_3_gaps,difference_avg_prop_correct_first_3_gaps_minus_last_3_gaps,did_fish_increase_avg_dist_performance_by_significant_amount_t_test_wilcox,did_fish_increase_avg_prop_performance_by_significant_amount_t_test_wilcox,did_fish_solve_shuttlebox_using_prop_correct_increase_of_at_least_20_percent,did_fish_solve_shuttlebox_using_distance_decrease_of_at_least_ABSOLUTE_20_percent,did_fish_solve_shuttlebox_using_distance_decrease_of_at_least_RELATIVE_20_percent
gilly,L,18,745.025,667.3064102564102,0.38618233618233616,0.2916666666666667,0.37493080344239643,0.26828588367711736,0.09357518951821367,0.3175560946810431,0.2,0.20243257510450702,0.37493080344239643,0.3175560946810431,0,0,620.9629629629629,-172.38888888888891,0.18518518518518523,0,0,0,0,0
wilhelmina,R,7,673.7583333333333,628.601566951567,0.4891737891737892,0.44166666666666665,0.45581911881942255,0.5065551690490403,0.5787972201787002,0.47122235108188043,0.7,0.6947757955958175,0.45581911881942255,0.47122235108188043,0,0,479.6296296296296,-194.8518518518519,0.20370370370370372,0,0,0,0,0
winthrop,R,30,683.1416666666667,646.2235042735043,0.1574074074074074,0.11666666666666667,0.5491104389176917,0.6428348264908044,0.11118257372832943,0.6295918368758332,1,0.04405779634412804,0.5491104389176917,1,0,0,643.1851851851852,-42.52910052910045,0.05555555555555555,0,0,0,0,0
wylla,R,6,706.2333333333333,648.1938746438747,0.48518518518518516,0.4,0.2563470768760128,0.5001842570707944,0.04682309705291844,0.2864334426927618,0.4,0.09206304507338492,0.5001842570707944,0.2864334426927618,0,0,477.35185185185185,-467.35185185185185,0.5185185185185185,0,0,0,0,0
gemma,L,11,712.1666666666666,642.1578347578347,0.4537037037037037,0.4,0.8089620134874056,0.8247780950825133,0.44955464478541696,0.9565733453855538,1,0.542618213629841,0.8089620134874056,0.9565733453855538,0,0,600.4444444444445,-19.925925925925867,-0.07407407407407407,0,0,0,0,0
gibson,L,10,656.05,665.3034188034188,0.4703703703703704,0.475,0.9614069840719501,1,0.2622931921571556,0.9196327808489517,1,0.15406034364110832,0.9614069840719501,0.9196327808489517,0,0,506.55555555555554,-46.44444444444446,0.01851851851851849,0,0,0,0,0
gordon,L,30,715.3833333333333,657.202849002849,0.4648148148148148,0.375,1,1,0.0013507528487045832,0.9938892108340867,0.7,0.002047556870662885,1,0.7,0,0,841.8518518518518,38.096749811035465,0,0,0,0,0,0
wildflower,L,9,612.8666666666667,609.9504273504274,0.47991452991452993,0.45,0.5953370118345689,0.653095114932182,0.42810833535058274,0.9926399547851719,0.7,0.3269083844986953,0.5953370118345689,0.9926399547851719,0,0,578.7407407407408,3.3703703703704377,-0.16666666666666663,0,0,0,0,0
wile,R,6,602.9833333333333,682.242735042735,0.4462962962962963,0.5166666666666667,0.25470736787905796,0.4,0.5953265108602018,0.20226323175508612,0.4,0.637061899400398,0.25470736787905796,0.20226323175508612,0,0,482.74074074074076,-502.2222222222222,0.37037037037037035,0,0,0,0,0
wisteria,L,17,719.9833333333333,687.096866096866,0.4462962962962963,0.4166666666666667,0.608040019983439,1,0.475179716179199,0.6103412939831215,1,0.6096533049650193,0.608040019983439,0.6103412939831215,0,0,859.2592592592592,223.85185185185185,-0.18518518518518517,0,0,0,0,1
gideon,L,10,715.9083333333333,637.0447293447294,0.49444444444444446,0.4083333333333333,0.7993677707185138,0.5065551690490403,0.036424345741199314,0.7417343224119028,0.4,0.05127278242195426,0.5065551690490403,0.7417343224119028,0,0,557.6296296296297,130.22222222222229,-0.11111111111111105,0,0,0,0,1
grayson,L,8,677.6666666666666,653.5019943019943,0.4740740740740741,0.45,0.9572960362701508,1,0.5669596637809337,0.8478601088036855,1,0.7425837925356022,0.9572960362701508,0.8478601088036855,0,0,510.1296296296296,-55.98148148148147,0.01851851851851849,0,0,0,0,0
wahida,L,7,663.3,630.3535612535612,0.5055555555555555,0.475,0.5319538594407318,0.7,0.8212256427126179,0.5730251874679462,0.7,0.8481546881464266,0.5319538594407318,0.5730251874679462,0,0,721.4074074074074,202.35185185185185,-0.24074074074074076,0,0,1,0,1
waverly,L,8,686.2083333333334,686.1539886039886,0.4111111111111111,0.39166666666666666,0.7046420390429897,0.8247780950825133,0.18278822099487846,0.6761159375896565,1,0.17285525781650748,0.7046420390429897,0.6761159375896565,0,0,501.6111111111111,-168.98148148148152,0.16666666666666663,0,0,0,0,0
wedelia,L,6,669.6666666666666,633.8032763532764,0.4881766381766382,0.43333333333333335,0.19820530603405473,0.34577858615116025,0.0044287784026868105,0.2348783165701405,0.7,0.021215579576144238,0.34577858615116025,0.7,0,0,477.44444444444446,-543.1851851851852,0.6296296296296295,0,0,0,0,0
