fish_name,sex.x,detour_trial_1_prop_time_in_social_reward_following_solution,detour_trial_1_date_of_trial,detour_trial_1_time_of_trial,detour_trial_1_did_fish_solve_barrier_problem,detour_trial_1_did_fish_solve_full_social_problem,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,time_to_barrier_contact_minus_start_time,scorer,resolution,shuttlebox_start_side,presentation_when_fish_gave_up_3_ITI,last10secdata_shuttlebox_average_distance_from_correct_stimulus_during_gaps,last10secdata_difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps,last10secdata_difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps,last10secdata_shuttlebox_slope_using_avg_dist_from_correct,last10secdata_shuttlebox_wilcox_test_using_avg_dist_from_correct,last10secdata_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,last10secdata_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,last10secdata_shuttlebox_slope_using_proportion_time_correct_during_gap,last10secdata_shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,last10secdata_did_fish_solve_shuttlebox_using_avg_dist_from_correct,last10secdata_did_fish_solve_shuttlebox_using_proportion_time_correct_during_gap,last10secdata_was_difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps_at_least_20_percent,last10secdata_was_difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps_at_least_20_percent,sex.y,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,totalthigmo_full_4_minutes,totalmirror_full_4_minutes,unique_zones_entered_full_4_minutes,entries_into_center_full_4_minutes,average_latency_enter_either_screen,average_prop_time_center_full_4_minutes,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,number_of_medians_above_60_using_T30_to_T50_data_two_and_three_combined,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
wylla,F,0.373540856,10_31_2017,3:46,1,1,58,47,8,28,DH,1280,R,0,687.4666666666667,NA,NA,0.4600667408231399,0.2694482940621891,0.45,-0.0012235817575083428,-0.0012235817575083428,0.0904819165832589,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warren,M,0.05019305,10_17_2017,2:17,1,1,66,62,1,16,DH,640,L,0,671.7,NA,NA,-2.3250278086763077,0.988248387860628,0.4666666666666667,0.0024471635150166713,0.0024471635150166713,0.08373171134385629,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
waverly,F,0.670658683,12_3_2017,3:27,1,1,75,61,4,358,BW,1280,L,8,714.7666666666667,NA,NA,-4.4785317018909865,0.3043962314020358,0.4,0.0064516129032258064,0.0064516129032258064,0.3410727118681686,0,0,NA,NA,F,1319,SDN,0.03141762452107279,0.4004980842911878,5.444444444444445,1.5555555555555556,16,36.083444444444446,0.02603683921676995,0.5286911319092328,0.2962962962962963,7.111111111111111,NaN,0.4452720288739973,NaN,NaN,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,non,non,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
wilbur,M,0.077235772,9_13_2017,12:23,1,1,76,17,7,32,DH,1280,R,15,658.4166666666666,94.80000000000001,-0.09999999999999998,6.157842046718582,0.5411429811915431,0.48333333333333334,-0.006562847608453842,-0.006562847608453842,0.0402737463613916,0,1,0,0,M,1961,DNS,0.28633333333333333,0.4067777777777778,4.888888888888889,4.888888888888889,47.333333333333336,2.266666666666667,0.07236575584065628,0.13968265915383396,0.7160493827160493,12.666666666666666,4.1875,0.07152409130027901,0.5359650314427535,0.5746753246753247,9,9,3,3,3,3,3,3,0.4662620492681185,0.7529328621908127,0.47539342904472676,0.17207792207792239,1,1,1,2,2,0.17635487844430214,0.6104401202628251,0.0010317127868623537,0.5637028616507731,low,low,1,1,17.863888888888887,46.36875,17.863888888888887,0.75,2,2,3,0.5648627801678859,0.7240259740259741
gunther,M,0.947686117,8_24_2017,2:42,1,1,91,89,5,12,DH,1280,L,9,696.55,NA,NA,-4.612569521690769,0.7740211662625126,0.43333333333333335,0.0051167964404894295,0.0051167964404894295,0.09332766956546738,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gladys,F,0.040816327,10_17_2017,10:07,1,1,120,7,11,333,DH,1280,R,14,614.05,184.5,-0.19999999999999996,-4.565183537263624,0.9618320947897734,0.5333333333333333,0.0022246941045606164,0.0022246941045606164,0.007053932516182895,0,1,1,0,F,2695,NDS,0.15096059113300492,0.19029556650246307,5.571428571428571,3.4285714285714284,42.285714285714285,12.46857142857143,0.08994318746598971,0.10020950888910703,0.8412698412698413,12.857142857142858,5.250000000000001,0.1883978874753034,0.4768127061037222,0.7142857142857143,7,7,2,2,3,2,2,3,0.5367054980592403,0.47356944913203225,0.4554983800266819,0.5,1,1,0,2,2,0.7182102733155302,0.5823896211835776,2.751787022775031e-4,0.2986176744488101,low,non,1,1,17.605,35.875,17.605,1,1,5,3,0.48859110907265146,0.8333333333333334
georgiafixed,F,0.462295082,9_13_2017,11:29,1,1,285,22,5,10,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,3036,DNS,0.23182375478927209,0.36912260536398467,10.777777777777779,6,60.111111111111114,4.794666666666666,0.0962057066818536,0.12604462893951168,0.9629629629629629,19.666666666666668,1.8603999999999992,0.13544925131293112,0.5003592958001349,0.578846788203382,9,9,3,3,3,3,3,3,0.49198717948717957,0.5162979226482012,0.4742451154529307,0.5068965517241381,0.5281690140845069,0.8300884955752214,0,1,1,0.41741897078033813,0.9900460787921892,0.17921643994861083,0.5456792325575683,low,non,1,0,10.333666666666668,11.215874999999999,10.333666666666668,0.6,1,2,1,0.49417673919610383,0.6217180204612888
gwen,F,0.190082645,10_17_2017,9:47,1,1,289,283,11,190,DH,640,R,0,603.0333333333333,NA,NA,0.8246941045606142,0.47730122517657614,0.5166666666666667,0.0016685205784204688,0.0016685205784204688,0.01688382331535521,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wedelia,F,0.122641509,12_3_2017,3:07,1,1,354,351,17,34,BW,1280,L,0,637,NA,NA,0.819799777530589,0.9354527592012709,0.5166666666666667,-3.337041156841022e-4,-3.337041156841022e-4,0.01688382331535521,0,1,NA,NA,F,1450,SDN,0.06331417624521073,0.7199616858237547,3,4.333333333333333,36.77777777777778,2.430555555555556,0.07674720183538292,0.42981176399689447,0.691358024691358,11.222222222222221,53.075,0.39959828272958847,0.46619736962338637,0.4929723469358574,6,2,3,3,0,1,1,0,0.01925722145804674,0.8836805555555557,NA,0.11570247933884283,0.870242214532872,NA,1,1,1,0.03943879098940303,0.7524936490337828,NA,NA,NA,low,1,0,46,70.825,46,0.6666666666666666,1,1,2,0.4514688885068012,0.4929723469358574
grayson,M,0.286666667,12_3_2017,2:15,1,1,358,218,6,92,BW,1280,L,8,652.5,NA,NA,2.0636262513904327,0.9588962424600657,0.5,-0.002447163515016696,-0.002447163515016696,0.017545979051391658,0,1,NA,NA,M,1097,SDN,0.3258429118773946,0.30765900383141764,2.6666666666666665,4.333333333333333,36.22222222222222,16.225,0.10945053002351193,0.03904471310825798,0.7037037037037037,12.666666666666666,4.6375,0.31880529286614895,0.4562452926553839,0.5629222972972973,9,8,3,3,3,3,3,2,0.6522157996146439,0.5095415117719952,0.2276052788182171,1,1,0,1,2,2,0.9977193192858387,0.6325925670915944,0.005699928850000039,0.7062559621048525,low,low,1,1,33.19285714285714,32.959375,33.19285714285714,0.5,1,2,1,0.46312086340161873,0.6666666666666666
