fish_name,shuttlebox_start_side,presentation_when_fish_gave_up,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps,difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps,shuttlebox_slope_using_avg_dist_from_correct,shuttlebox_wilcox_test_using_avg_dist_from_correct,binned_shuttlebox_slope_using_avg_dist_from_correct,binned_shuttlebox_wilcox_test_using_avg_dist_from_correct,shuttlebox_slope_using_proportion_time_correct_during_gap,shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,binned_shuttlebox_slope_using_proportion_time_correct_during_gap,binned_shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations
gail,R,24,609.4416666666667,589.196261682243,251.10000000000002,-0.26666666666666666,-6.350859162781832,0.010774364263331896,-18.090428341384733,0.010774364263331896,0.005153874675565438,0.38048339714686147,0.016557868938821312,0.3576997405045187,0.5537037037037037,0.525,0.005153874675565438,0.003058954393770863,0.5571050642479214,0.525,0.016557868938821312,0.008585858585858573
gary,R,30,583.8416666666667,646.3457943925233,140.21960784313728,-0.12820512820512825,-3.4118567548011285,0.3961997876963175,-9.794542136339208,0.3961997876963175,0.0023929722483671317,1,0.008057903295998531,0.9187600955117996,0.500997150997151,0.55,0.0023929722483671317,-0.00433815350389321,0.5032501889644747,0.55,0.008057903295998531,-0.013131313131313136
george,R,7,642.5916666666667,602.7757009345794,NA,NA,-2.5207506257191374,0.14437834882269246,-10.161736983360125,0.14437834882269246,0.0023853664565566613,0.7133677473476019,0.011844064225016614,0.7209291699498709,0.5314814814814814,0.5,0.0023853664565566613,-0.005895439377085657,0.5348828420256991,0.5,0.011844064225016614,-0.021212121212121213
wendy,R,21,639.5166666666667,646.7644859813084,-20.677777777777806,0.05555555555555558,-2.3480288957688367,0.6425824879317683,-6.207561996779382,0.6425824879317683,0.001522109086069043,0.9177451483162634,0.005446757827710208,0.76953125,0.4821937321937322,0.49166666666666664,0.001522109086069043,-5.5617352614014884e-5,0.48488284202569915,0.49166666666666664,0.005446757827710208,0.0015151515151515104
wheatley,R,30,550.0583333333333,644.5794392523364,13.755555555555588,0.02307692307692305,-2.4830475783779895,0.8832096057741288,-10.810035426731014,0.8832096057741288,0.0015297148778795058,0.8125639278080548,0.008449575116241777,0.4036220091236142,0.48133903133903133,0.5916666666666667,0.0015297148778795058,-0.0077308120133481656,0.48174603174603176,0.5916666666666667,0.008449575116241777,-0.025757575757575757
willow,R,16,581.2083333333334,675.6429906542056,-23.466666666666583,0.011111111111111183,-1.2460140208533481,0.2001818924446582,3.9936253354803872,0.2001818924446582,0.0032752440983809146,0.6510486004578115,-0.0016147873290730528,0.1845725528398829,0.45740740740740743,0.6083333333333333,0.0032752440983809146,-0.01751946607341491,0.45136054421768707,0.6083333333333333,-0.0016147873290730528,-0.04393939393939396
gertrude,L,9,672.8833333333333,674.7177570093457,NA,NA,-3.6351280500100613,0.3535359682997005,-12.035426731078841,0.3535359682997005,0.00292918057100482,0.5247333044931468,0.012068531116150152,0.4133023795226212,0.4574074074074074,0.4666666666666667,0.00292918057100482,0.00845383759733037,0.46080876795162506,0.4666666666666667,0.012068531116150152,0.024242424242424232
gloria,L,16,781.6034482758621,625.503861003861,165.89999999999998,-0.2,-7.094130552455926,0.8648698600391844,-26.07005495568711,0.8648698600391844,0.004115684093437152,0.5808912602270008,0.019475938523557595,0.7594628653799336,0.5018518518518519,0.35,0.004115684093437152,0.005005561735261404,0.5052532123960696,0.35,0.019475938523557595,0.013131313131313126
gunther,L,9,665.2083333333334,663.9551401869159,NA,NA,-2.8567666631080724,0.3436476123460436,-7.793829307568426,0.3436476123460436,0.0023359288097886486,0.7460187376088532,0.008149522435236714,1,0.4685185185185185,0.4666666666666667,0.0023359288097886486,0.008676307007786425,0.47173091458805744,0.4666666666666667,0.008149522435236714,0.02828282828282827
willis,L,7,681.475,669.1532710280374,NA,NA,-4.836529660866157,0.1911993796854466,-13.037470746108394,0.1911993796854466,0.004746014089729327,0.6371948115647506,0.01487436725531963,0.9187600955117996,0.46296296296296297,0.45,0.004746014089729327,0.0012235817575083428,0.46636432350718066,0.44999999999999996,0.01487436725531963,0.005050505050505028
